,Total Population,Pop. that Works from Home,Single Occupant Households,Single Parent Households,Married Parent Households,Undergrads and Grads,Diploma/GED attained,Degree attained,Households in Poverty,Below 40k Earners,40k-100k Earners,Above 100k Earners,Unemployed,Renter Occupied Households,Owner Occupied Households,Crime Counts,walk_score,transit_score,Fast Food Count,Fast Food Consumers,raw_visit_count
421010344002,1139,0,126,0,44,28,367,185,394,126,131,137,26,0,394,47,53,42,0.0,0.0,30877.0
421010344003,2688,0,160,73,285,77,670,549,956,211,415,330,63,42,914,41,16,38,0.0,0.0,44593.0
421010344004,2415,52,43,13,215,186,512,759,602,28,157,417,69,0,602,26,15,36,0.0,0.0,31545.0
421010345011,1904,0,552,70,65,212,609,344,1001,686,280,35,3,923,78,46,41,55,0.0,0.0,22695.0
421010345012,1578,36,504,111,78,10,462,251,847,549,187,111,37,671,176,54,65,54,0.0,0.0,24445.0
421010345021,796,14,114,0,52,102,218,212,364,119,166,79,10,104,260,34,61,49,0.0,0.0,6618.0
421010345022,2517,6,574,29,199,109,540,632,1274,662,569,43,100,986,288,112,67,54,0.0,0.0,66867.0
421010345023,1676,0,287,170,73,49,339,416,730,266,428,36,135,619,111,52,57,52,0.0,0.0,52573.0
421010346001,2664,27,529,70,124,239,629,641,1215,551,515,149,65,925,290,263,31,46,8.0,2610.0,139631.0
421010347011,2367,70,311,29,210,134,408,355,924,294,466,164,64,291,633,80,38,50,1.0,118.0,31817.0
421010347012,2620,0,343,131,163,134,518,431,1018,467,387,164,79,355,663,73,45,51,0.0,0.0,35663.0
421010347013,1395,0,260,8,52,119,338,454,557,132,249,176,0,71,486,52,60,54,2.0,287.0,71922.0
421010347021,2167,7,132,85,191,78,461,327,673,164,381,128,77,193,480,71,27,45,1.0,154.0,35294.0
421010347022,792,11,109,0,61,27,149,136,325,98,95,132,47,12,313,15,45,48,0.0,0.0,11169.0
421010347023,1004,10,119,8,71,34,310,279,431,30,193,208,18,0,431,28,41,49,0.0,0.0,16012.0
421010348011,1198,0,166,43,60,23,510,129,536,211,241,84,24,427,109,16,44,55,0.0,0.0,11776.0
421010348012,1406,0,142,66,93,77,449,192,605,246,264,95,15,66,539,58,46,49,0.0,0.0,38666.0
421010348013,1861,1,240,72,163,32,772,122,723,378,257,88,38,474,249,85,53,56,1.0,14.0,70939.0
421010348021,3029,0,342,201,131,416,760,420,1059,581,334,144,190,683,376,89,29,42,0.0,0.0,22364.0
421010348022,1160,13,230,19,85,23,498,95,502,213,200,89,70,155,347,46,38,46,0.0,0.0,35529.0
421010348023,1338,0,143,51,84,39,399,84,449,184,132,133,29,134,315,54,44,48,0.0,0.0,42111.0
421010348031,1079,18,83,24,63,41,317,267,408,145,109,154,16,6,402,55,30,54,1.0,457.0,34751.0
421010348032,2225,0,185,107,175,127,633,271,765,298,338,129,103,202,563,71,34,48,0.0,0.0,46226.0
421010348033,963,0,112,0,72,120,283,186,358,149,93,116,30,143,215,25,42,50,0.0,0.0,11646.0
421010349001,850,0,199,13,78,38,171,92,377,159,203,15,22,87,290,100,56,52,1.0,194.0,140919.0
